subjID,run,trial,phase,oriRef,oriJitt,oriFinal,oriRespInit,oriRespFinal,error,points,rt,outoftime,iti,oriRef2,oriFinal2,oriRespFinal2,oriFinal3,oriRespFinal3
2,1,39,2,3,-8,82,99,84,-2,96,0.949242216011044,,0.2,90,82,84,-8,-6
2,1,40,8,1,1,1,102,2,-1,98,2.74557269198704,,0.2,0,1,2,1,2
2,1,41,10,4,4,139,29,133,6,88,2.26562211601413,,0.2,135,139,133,4,-2
2,1,42,10,1,8,8,77,23,-15,70,2.09848336901632,,0.2,0,8,23,8,23
2,1,43,5,1,8,8,92,8,0,100,2.68105885398109,,0.2,0,8,8,8,8
2,1,44,2,4,6,141,176,146,-5,90,1.41465244098799,,0.2,135,141,146,6,11
2,1,45,7,2,-1,44,87,64,-20,60,1.26608844500151,,0.2,45,44,64,-1,19
2,1,46,5,1,4,4,8,3,1,98,0.933122515009018,,0.2,0,4,3,4,3
2,1,47,9,3,6,96,125,103,-7,86,1.36509661300806,,0.2,90,96,103,6,13
2,1,48,8,3,-7,83,133,88,-5,90,2.30999055100256,,0.2,90,83,88,-7,-2
2,1,49,1,1,4,4,88,9,-5,90,2.36473623997881,,0.2,0,4,9,4,9
2,1,50,10,3,-2,88,122,89,-1,98,1.64943164100987,,0.2,90,88,89,-2,-1
2,1,51,10,3,10,100,19,106,-6,88,2.24741652500234,,0.2,90,100,106,10,16
2,1,52,5,3,1,91,37,92,-1,98,2.21227966801962,,0.2,90,91,92,1,2
2,1,53,3,1,2,2,3,3,-1,98,0.647926456003916,,0.2,0,2,3,2,3
2,1,54,3,1,-7,173,64,168,5,90,2.83345428100438,,0.2,0,-7,-12,-7,-12
2,1,55,3,3,3,93,162,95,-2,96,2.43029675097205,,0.2,90,93,95,3,5
2,1,56,8,3,2,92,49,95,-3,94,1.64711582899326,,0.2,90,92,95,2,5
2,1,57,10,2,-7,38,78,51,-13,74,1.03413763601566,,0.2,45,38,51,-7,6
2,1,58,9,4,-5,130,47,129,1,98,1.93060492302175,,0.2,135,130,129,-5,-6
2,1,59,8,4,-2,133,80,132,1,98,1.42882401400129,,0.2,135,133,132,-2,-3
2,1,60,7,2,-8,37,68,46,-9,82,1.06426087001455,,0.2,45,37,46,-8,1
2,1,61,4,2,1,46,148,49,-3,94,2.13032306698733,,0.2,45,46,49,1,4
2,1,62,3,3,8,98,47,105,-7,86,1.47017123099067,,0.2,90,98,105,8,15
2,1,63,1,3,2,92,152,95,-3,94,1.93194221399608,,0.2,90,92,95,2,5
2,1,64,6,3,-2,88,164,87,1,98,2.64752755902009,,0.2,90,88,87,-2,-3
2,1,65,7,4,0,135,101,132,3,94,1.24571585800732,,0.2,135,135,132,0,-3
2,1,66,5,2,6,51,170,40,11,78,1.29633399299928,,0.2,45,51,40,6,-5
2,1,67,6,3,1,91,23,91,0,100,2.11500751800486,,0.2,90,91,91,1,1
2,1,68,7,1,2,2,71,2,0,100,2.64861969900085,,0.2,0,2,2,2,2
2,1,69,4,3,0,90,176,91,-1,98,3.10142794501735,,0.2,90,90,91,0,1
2,1,70,9,3,-6,84,128,88,-4,92,2.71590448499774,,0.2,90,84,88,-6,-2
2,1,71,10,3,0,90,26,91,-1,98,2.53058000400779,,0.2,90,90,91,0,1
2,1,72,4,2,3,48,88,51,-3,94,1.2611251839844,,0.2,45,48,51,3,6
2,1,73,2,4,1,136,125,125,11,78,0.631605670001591,,0.2,135,136,125,1,-10
2,1,74,1,1,5,5,85,9,-4,92,2.1978986109898,,0.2,0,5,9,5,9
2,1,75,4,4,-5,130,135,135,-5,90,0.719966795993969,,0.2,135,130,135,-5,0
2,1,76,6,3,-8,82,33,67,15,70,0.934722726000473,,0.2,90,82,67,-8,-23
2,1,77,10,4,-1,134,44,130,4,92,2.04943588800961,,0.2,135,134,130,-1,-5
2,1,78,6,1,-4,176,4,164,12,76,0.812973300024169,,0.2,0,-4,-16,-4,-16
2,1,79,6,4,-3,132,167,142,-10,80,1.11389240098651,,0.2,135,132,142,-3,7
2,1,80,8,1,-2,178,21,178,0,100,1.71661944699008,,0.2,0,-2,-2,-2,-2
2,1,81,8,2,-9,36,12,43,-7,86,1.08133889501914,,0.2,45,36,43,-9,-2
2,1,82,6,2,-6,39,88,57,-18,64,1.23659249598859,,0.2,45,39,57,-6,12
2,1,83,2,1,4,4,119,10,-6,88,2.10002179199364,,0.2,0,4,10,4,10
2,1,84,8,3,-6,84,121,84,0,100,1.3826211069827,,0.2,90,84,84,-6,-6
2,1,85,9,4,-1,134,30,127,7,86,2.38078867300646,,0.2,135,134,127,-1,-8
2,1,86,8,4,-5,130,118,129,1,98,0.732623942982173,,0.2,135,130,129,-5,-6
2,1,87,4,1,7,7,114,8,-1,98,2.23689108502003,,0.2,0,7,8,7,8
2,1,88,10,2,2,47,151,34,13,74,1.61827016400639,,0.2,45,47,34,2,-11
2,1,89,5,4,3,138,61,143,-5,90,2.23145083198324,,0.2,135,138,143,3,8
2,1,90,4,3,9,99,73,104,-5,90,1.76374328098609,,0.2,90,99,104,9,14
2,1,91,6,1,1,1,39,0,1,98,1.58158380098757,,0.2,0,1,0,1,0
2,1,92,1,1,5,5,117,6,-1,98,2.10656581798685,,0.2,0,5,6,5,6
2,1,93,6,4,9,144,99,145,-1,98,1.5709641299909,,0.2,135,144,145,9,10
2,1,94,4,1,5,5,83,179,6,88,2.74726467998698,,0.2,0,5,-1,5,-1
2,1,95,3,2,-2,43,176,36,7,86,1.28338111899211,,0.2,45,43,36,-2,-9
2,1,96,6,2,-9,36,124,33,3,94,2.03171877600835,,0.2,45,36,33,-9,-12
2,1,97,5,4,7,142,10,147,-5,90,1.12825571798021,,0.2,135,142,147,7,12
2,1,98,4,2,5,50,62,70,-20,60,1.03097506597987,,0.2,45,50,70,5,25
2,1,99,2,2,-10,35,95,44,-9,82,1.34867722800118,,0.2,45,35,44,-10,-1
2,1,100,8,4,-4,131,40,130,1,98,1.96555125099258,,0.2,135,131,130,-4,-5
2,1,101,5,2,9,54,143,56,-2,96,2.0972700350103,,0.2,45,54,56,9,11
2,1,102,5,1,-7,173,24,159,14,72,1.5814090819913,,0.2,0,-7,-21,-7,-21
2,1,103,8,2,2,47,131,50,-3,94,2.77895954999258,,0.2,45,47,50,2,5
2,1,104,7,1,5,5,126,11,-6,88,2.11320805997821,,0.2,0,5,11,5,11
2,1,105,1,2,-9,36,160,25,11,78,1.09097729899804,,0.2,45,36,25,-9,-20
2,1,106,1,3,0,90,162,91,-1,98,2.69847718899837,,0.2,90,90,91,0,1
2,1,107,8,2,-4,41,22,33,8,84,0.668048577004811,,0.2,45,41,33,-4,-12
2,1,108,1,1,8,8,95,12,-4,92,2.61832432702067,,0.2,0,8,12,8,12
2,1,109,5,4,9,144,43,124,20,60,1.66224273599801,,0.2,135,144,124,9,-11
2,1,110,3,4,-9,126,80,117,9,82,0.999440505984239,,0.2,135,126,117,-9,-18
